age,rate
0,9.223245900036618e-09
1,9.223245900036618e-09
2,9.223245900036618e-09
3,9.223245900036618e-09
4,9.223245900036618e-09
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,2.1796844688762856e-08
11,2.1796844688762856e-08
12,2.1796844688762856e-08
13,2.1796844688762856e-08
14,2.1796844688762856e-08
15,9.501543787080665e-09
16,9.501543787080665e-09
17,9.501543787080665e-09
18,9.501543787080665e-09
19,9.501543787080665e-09
20,7.224183648284261e-08
21,7.224183648284261e-08
22,7.224183648284261e-08
23,7.224183648284261e-08
24,7.224183648284261e-08
25,7.432251773474628e-08
26,7.432251773474628e-08
27,7.432251773474628e-08
28,7.432251773474628e-08
29,7.432251773474628e-08
30,1.6263685606823643e-07
31,1.6263685606823643e-07
32,1.6263685606823643e-07
33,1.6263685606823643e-07
34,1.6263685606823643e-07
35,3.99475555175314e-07
36,3.99475555175314e-07
37,3.99475555175314e-07
38,3.99475555175314e-07
39,3.99475555175314e-07
40,5.157485983457364e-07
41,5.157485983457364e-07
42,5.157485983457364e-07
43,5.157485983457364e-07
44,5.157485983457364e-07
45,8.690066560442592e-07
46,8.690066560442592e-07
47,8.690066560442592e-07
48,8.690066560442592e-07
49,8.690066560442592e-07
50,1.2821474073725148e-06
51,1.2821474073725148e-06
52,1.2821474073725148e-06
53,1.2821474073725148e-06
54,1.2821474073725148e-06
55,1.6636990406025402e-06
56,1.6636990406025402e-06
57,1.6636990406025402e-06
58,1.6636990406025402e-06
59,1.6636990406025402e-06
60,2.2766848958916137e-06
61,2.2766848958916137e-06
62,2.2766848958916137e-06
63,2.2766848958916137e-06
64,2.2766848958916137e-06
65,2.5202935910914994e-06
66,2.5202935910914994e-06
67,2.5202935910914994e-06
68,2.5202935910914994e-06
69,2.5202935910914994e-06
70,3.213013585746811e-06
71,3.213013585746811e-06
72,3.213013585746811e-06
73,3.213013585746811e-06
74,3.213013585746811e-06
75,4.208069393869685e-06
76,4.208069393869685e-06
77,4.208069393869685e-06
78,4.208069393869685e-06
79,4.208069393869685e-06
80,5.131231238935783e-06
81,5.131231238935783e-06
82,5.131231238935783e-06
83,5.131231238935783e-06
84,5.131231238935783e-06
85,4.529945281385101e-06
86,4.529945281385101e-06
87,4.529945281385101e-06
88,4.529945281385101e-06
89,4.529945281385101e-06
