age,rate
0,1.7750218301581847e-07
1,1.7750218301581847e-07
2,1.7750218301581847e-07
3,1.7750218301581847e-07
4,1.7750218301581847e-07
5,3.9665332570950956e-07
6,3.9665332570950956e-07
7,3.9665332570950956e-07
8,3.9665332570950956e-07
9,3.9665332570950956e-07
10,1.2536014666888923e-06
11,1.2536014666888923e-06
12,1.2536014666888923e-06
13,1.2536014666888923e-06
14,1.2536014666888923e-06
15,2.554209163979077e-06
16,2.554209163979077e-06
17,2.554209163979077e-06
18,2.554209163979077e-06
19,2.554209163979077e-06
20,4.003095020535726e-06
21,4.003095020535726e-06
22,4.003095020535726e-06
23,4.003095020535726e-06
24,4.003095020535726e-06
25,5.2471421285883445e-06
26,5.2471421285883445e-06
27,5.2471421285883445e-06
28,5.2471421285883445e-06
29,5.2471421285883445e-06
30,6.06030162680409e-06
31,6.06030162680409e-06
32,6.06030162680409e-06
33,6.06030162680409e-06
34,6.06030162680409e-06
35,7.813032144271699e-06
36,7.813032144271699e-06
37,7.813032144271699e-06
38,7.813032144271699e-06
39,7.813032144271699e-06
40,1.5246567076681187e-05
41,1.5246567076681187e-05
42,1.5246567076681187e-05
43,1.5246567076681187e-05
44,1.5246567076681187e-05
45,2.389703440703134e-05
46,2.389703440703134e-05
47,2.389703440703134e-05
48,2.389703440703134e-05
49,2.389703440703134e-05
50,3.160928097462439e-05
51,3.160928097462439e-05
52,3.160928097462439e-05
53,3.160928097462439e-05
54,3.160928097462439e-05
55,3.256081610707147e-05
56,3.256081610707147e-05
57,3.256081610707147e-05
58,3.256081610707147e-05
59,3.256081610707147e-05
60,3.6273495227183836e-05
61,3.6273495227183836e-05
62,3.6273495227183836e-05
63,3.6273495227183836e-05
64,3.6273495227183836e-05
65,3.552937333635142e-05
66,3.552937333635142e-05
67,3.552937333635142e-05
68,3.552937333635142e-05
69,3.552937333635142e-05
70,3.547952622405336e-05
71,3.547952622405336e-05
72,3.547952622405336e-05
73,3.547952622405336e-05
74,3.547952622405336e-05
75,3.224802095607677e-05
76,3.224802095607677e-05
77,3.224802095607677e-05
78,3.224802095607677e-05
79,3.224802095607677e-05
80,3.0395207182843e-05
81,3.0395207182843e-05
82,3.0395207182843e-05
83,3.0395207182843e-05
84,3.0395207182843e-05
85,2.0016500356833887e-05
86,2.0016500356833887e-05
87,2.0016500356833887e-05
88,2.0016500356833887e-05
89,2.0016500356833887e-05
