age,rate
0,1.8238090982540675e-07
1,1.8238090982540675e-07
2,1.8238090982540675e-07
3,1.8238090982540675e-07
4,1.8238090982540675e-07
5,1.6500329594083642e-07
6,1.6500329594083642e-07
7,1.6500329594083642e-07
8,1.6500329594083642e-07
9,1.6500329594083642e-07
10,1.5693919739550684e-06
11,1.5693919739550684e-06
12,1.5693919739550684e-06
13,1.5693919739550684e-06
14,1.5693919739550684e-06
15,1.6692013798731407e-06
16,1.6692013798731407e-06
17,1.6692013798731407e-06
18,1.6692013798731407e-06
19,1.6692013798731407e-06
20,4.508026888646534e-06
21,4.508026888646534e-06
22,4.508026888646534e-06
23,4.508026888646534e-06
24,4.508026888646534e-06
25,3.1299837538938492e-06
26,3.1299837538938492e-06
27,3.1299837538938492e-06
28,3.1299837538938492e-06
29,3.1299837538938492e-06
30,4.878988878344852e-06
31,4.878988878344852e-06
32,4.878988878344852e-06
33,4.878988878344852e-06
34,4.878988878344852e-06
35,9.12364298770278e-06
36,9.12364298770278e-06
37,9.12364298770278e-06
38,9.12364298770278e-06
39,9.12364298770278e-06
40,1.84184292513793e-05
41,1.84184292513793e-05
42,1.84184292513793e-05
43,1.84184292513793e-05
44,1.84184292513793e-05
45,3.0196254160044448e-05
46,3.0196254160044448e-05
47,3.0196254160044448e-05
48,3.0196254160044448e-05
49,3.0196254160044448e-05
50,3.9935462461809566e-05
51,3.9935462461809566e-05
52,3.9935462461809566e-05
53,3.9935462461809566e-05
54,3.9935462461809566e-05
55,4.8300170669235765e-05
56,4.8300170669235765e-05
57,4.8300170669235765e-05
58,4.8300170669235765e-05
59,4.8300170669235765e-05
60,5.4145597511708986e-05
61,5.4145597511708986e-05
62,5.4145597511708986e-05
63,5.4145597511708986e-05
64,5.4145597511708986e-05
65,6.167059324358994e-05
66,6.167059324358994e-05
67,6.167059324358994e-05
68,6.167059324358994e-05
69,6.167059324358994e-05
70,6.608339170040086e-05
71,6.608339170040086e-05
72,6.608339170040086e-05
73,6.608339170040086e-05
74,6.608339170040086e-05
75,6.691356225280076e-05
76,6.691356225280076e-05
77,6.691356225280076e-05
78,6.691356225280076e-05
79,6.691356225280076e-05
80,6.194049723672649e-05
81,6.194049723672649e-05
82,6.194049723672649e-05
83,6.194049723672649e-05
84,6.194049723672649e-05
85,5.955008645109075e-05
86,5.955008645109075e-05
87,5.955008645109075e-05
88,5.955008645109075e-05
89,5.955008645109075e-05
