age,rate
0,2.0839565102975046e-07
1,2.0839565102975046e-07
2,2.0839565102975046e-07
3,2.0839565102975046e-07
4,2.0839565102975046e-07
5,2.1035094162284323e-07
6,2.1035094162284323e-07
7,2.1035094162284323e-07
8,2.1035094162284323e-07
9,2.1035094162284323e-07
10,7.504646770562878e-07
11,7.504646770562878e-07
12,7.504646770562878e-07
13,7.504646770562878e-07
14,7.504646770562878e-07
15,1.8535259255005019e-06
16,1.8535259255005019e-06
17,1.8535259255005019e-06
18,1.8535259255005019e-06
19,1.8535259255005019e-06
20,2.5201536630229785e-06
21,2.5201536630229785e-06
22,2.5201536630229785e-06
23,2.5201536630229785e-06
24,2.5201536630229785e-06
25,3.0014814334344625e-06
26,3.0014814334344625e-06
27,3.0014814334344625e-06
28,3.0014814334344625e-06
29,3.0014814334344625e-06
30,4.6682050415373946e-06
31,4.6682050415373946e-06
32,4.6682050415373946e-06
33,4.6682050415373946e-06
34,4.6682050415373946e-06
35,7.993413747609864e-06
36,7.993413747609864e-06
37,7.993413747609864e-06
38,7.993413747609864e-06
39,7.993413747609864e-06
40,1.484048699487344e-05
41,1.484048699487344e-05
42,1.484048699487344e-05
43,1.484048699487344e-05
44,1.484048699487344e-05
45,2.3850048888765808e-05
46,2.3850048888765808e-05
47,2.3850048888765808e-05
48,2.3850048888765808e-05
49,2.3850048888765808e-05
50,3.056452537670047e-05
51,3.056452537670047e-05
52,3.056452537670047e-05
53,3.056452537670047e-05
54,3.056452537670047e-05
55,3.5728340673778136e-05
56,3.5728340673778136e-05
57,3.5728340673778136e-05
58,3.5728340673778136e-05
59,3.5728340673778136e-05
60,3.88746120838317e-05
61,3.88746120838317e-05
62,3.88746120838317e-05
63,3.88746120838317e-05
64,3.88746120838317e-05
65,4.248973513979542e-05
66,4.248973513979542e-05
67,4.248973513979542e-05
68,4.248973513979542e-05
69,4.248973513979542e-05
70,3.664426351908443e-05
71,3.664426351908443e-05
72,3.664426351908443e-05
73,3.664426351908443e-05
74,3.664426351908443e-05
75,1.6004247223555563e-05
76,1.6004247223555563e-05
77,1.6004247223555563e-05
78,1.6004247223555563e-05
79,1.6004247223555563e-05
