age,rate
0,1.4882460376977036e-06
1,1.4882460376977036e-06
2,1.4882460376977036e-06
3,1.4882460376977036e-06
4,1.4882460376977036e-06
5,5.472660527680856e-07
6,5.472660527680856e-07
7,5.472660527680856e-07
8,5.472660527680856e-07
9,5.472660527680856e-07
10,1.637832520159986e-07
11,1.637832520159986e-07
12,1.637832520159986e-07
13,1.637832520159986e-07
14,1.637832520159986e-07
15,1.2811699106753087e-07
16,1.2811699106753087e-07
17,1.2811699106753087e-07
18,1.2811699106753087e-07
19,1.2811699106753087e-07
20,1.5936124824478526e-07
21,1.5936124824478526e-07
22,1.5936124824478526e-07
23,1.5936124824478526e-07
24,1.5936124824478526e-07
25,3.013106595202102e-07
26,3.013106595202102e-07
27,3.013106595202102e-07
28,3.013106595202102e-07
29,3.013106595202102e-07
30,5.348617542823706e-07
31,5.348617542823706e-07
32,5.348617542823706e-07
33,5.348617542823706e-07
34,5.348617542823706e-07
35,1.1072580117334706e-06
36,1.1072580117334706e-06
37,1.1072580117334706e-06
38,1.1072580117334706e-06
39,1.1072580117334706e-06
40,1.9867766467951373e-06
41,1.9867766467951373e-06
42,1.9867766467951373e-06
43,1.9867766467951373e-06
44,1.9867766467951373e-06
45,4.095779725981558e-06
46,4.095779725981558e-06
47,4.095779725981558e-06
48,4.095779725981558e-06
49,4.095779725981558e-06
50,6.728601595456152e-06
51,6.728601595456152e-06
52,6.728601595456152e-06
53,6.728601595456152e-06
54,6.728601595456152e-06
55,8.8036673849232e-06
56,8.8036673849232e-06
57,8.8036673849232e-06
58,8.8036673849232e-06
59,8.8036673849232e-06
60,1.1515824625711891e-05
61,1.1515824625711891e-05
62,1.1515824625711891e-05
63,1.1515824625711891e-05
64,1.1515824625711891e-05
65,1.5931448736219776e-05
66,1.5931448736219776e-05
67,1.5931448736219776e-05
68,1.5931448736219776e-05
69,1.5931448736219776e-05
70,1.426773650404938e-05
71,1.426773650404938e-05
72,1.426773650404938e-05
73,1.426773650404938e-05
74,1.426773650404938e-05
75,7.908841216783756e-06
76,7.908841216783756e-06
77,7.908841216783756e-06
78,7.908841216783756e-06
79,7.908841216783756e-06
