age,rate
0,0.0
1,0.0
2,0.0
3,0.0
3,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,7.658222710306283e-08
2,7.658222710306283e-08
2,7.658222710306283e-08
2,7.658222710306283e-08
2,7.658222710306283e-08
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,3.1495455402631996e-07
3,3.1495455402631996e-07
3,3.1495455402631996e-07
3,3.1495455402631996e-07
3,3.1495455402631996e-07
4,4.079710748507931e-07
4,4.079710748507931e-07
4,4.079710748507931e-07
4,4.079710748507931e-07
4,4.079710748507931e-07
4,1.1265740351597497e-06
4,1.1265740351597497e-06
4,1.1265740351597497e-06
4,1.1265740351597497e-06
4,1.1265740351597497e-06
5,2.734855736359907e-06
5,2.734855736359907e-06
5,2.734855736359907e-06
5,2.734855736359907e-06
5,2.734855736359907e-06
5,4.863667914313289e-06
5,4.863667914313289e-06
5,4.863667914313289e-06
5,4.863667914313289e-06
5,4.863667914313289e-06
6,5.618297428110468e-06
6,5.618297428110468e-06
6,5.618297428110468e-06
6,5.618297428110468e-06
6,5.618297428110468e-06
6,6.896882490202662e-06
6,6.896882490202662e-06
6,6.896882490202662e-06
6,6.896882490202662e-06
6,6.896882490202662e-06
7,1.1261116330549156e-05
7,1.1261116330549156e-05
7,1.1261116330549156e-05
7,1.1261116330549156e-05
7,1.1261116330549156e-05
7,9.066538923192884e-06
7,9.066538923192884e-06
7,9.066538923192884e-06
7,9.066538923192884e-06
7,9.066538923192884e-06
8,9.004313412444306e-06
8,9.004313412444306e-06
8,9.004313412444306e-06
8,9.004313412444306e-06
8,9.004313412444306e-06
8,0.00010324021968164779
