age,rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,3.5051821927981653e-07
6,3.5051821927981653e-07
7,3.5051821927981653e-07
8,3.5051821927981653e-07
9,3.5051821927981653e-07
1,8.163771793188801e-07
1,8.163771793188801e-07
1,8.163771793188801e-07
1,8.163771793188801e-07
1,8.163771793188801e-07
1,2.2741874044130605e-06
1,2.2741874044130605e-06
1,2.2741874044130605e-06
1,2.2741874044130605e-06
1,2.2741874044130605e-06
2,2.516610583110111e-06
2,2.516610583110111e-06
2,2.516610583110111e-06
2,2.516610583110111e-06
2,2.516610583110111e-06
2,3.4462002196378274e-06
2,3.4462002196378274e-06
2,3.4462002196378274e-06
2,3.4462002196378274e-06
2,3.4462002196378274e-06
3,5.061563240080621e-06
3,5.061563240080621e-06
3,5.061563240080621e-06
3,5.061563240080621e-06
3,5.061563240080621e-06
3,6.37782971903298e-06
3,6.37782971903298e-06
3,6.37782971903298e-06
3,6.37782971903298e-06
3,6.37782971903298e-06
4,1.0675243125262419e-05
4,1.0675243125262419e-05
4,1.0675243125262419e-05
4,1.0675243125262419e-05
4,1.0675243125262419e-05
4,1.6836023080998483e-05
4,1.6836023080998483e-05
4,1.6836023080998483e-05
4,1.6836023080998483e-05
4,1.6836023080998483e-05
5,2.760296254837674e-05
5,2.760296254837674e-05
5,2.760296254837674e-05
5,2.760296254837674e-05
5,2.760296254837674e-05
5,3.9117786225119736e-05
5,3.9117786225119736e-05
5,3.9117786225119736e-05
5,3.9117786225119736e-05
5,3.9117786225119736e-05
6,5.375344025813799e-05
6,5.375344025813799e-05
6,5.375344025813799e-05
6,5.375344025813799e-05
6,5.375344025813799e-05
6,7.182270731176564e-05
6,7.182270731176564e-05
6,7.182270731176564e-05
6,7.182270731176564e-05
6,7.182270731176564e-05
7,8.397575320780943e-05
7,8.397575320780943e-05
7,8.397575320780943e-05
7,8.397575320780943e-05
7,8.397575320780943e-05
7,0.00010176175030210521
7,0.00010176175030210521
7,0.00010176175030210521
7,0.00010176175030210521
7,0.00010176175030210521
8,9.212105260423791e-05
8,9.212105260423791e-05
8,9.212105260423791e-05
8,9.212105260423791e-05
8,9.212105260423791e-05
8,0.0007226815377715344
