age,rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,5.427850299888729e-06
31,5.427850299888729e-06
32,5.427850299888729e-06
33,5.427850299888729e-06
34,5.427850299888729e-06
35,9.83743636408352e-06
36,9.83743636408352e-06
37,9.83743636408352e-06
38,9.83743636408352e-06
39,9.83743636408352e-06
40,1.0495382031905961e-05
41,1.0495382031905961e-05
42,1.0495382031905961e-05
43,1.0495382031905961e-05
44,1.0495382031905961e-05
45,2.2889187719950787e-05
46,2.2889187719950787e-05
47,2.2889187719950787e-05
48,2.2889187719950787e-05
49,2.2889187719950787e-05
50,1.1220825852782766e-05
51,1.1220825852782766e-05
52,1.1220825852782766e-05
53,1.1220825852782766e-05
54,1.1220825852782766e-05
55,3.250130005200208e-05
56,3.250130005200208e-05
57,3.250130005200208e-05
58,3.250130005200208e-05
59,3.250130005200208e-05
60,3.127932436659368e-05
61,3.127932436659368e-05
62,3.127932436659368e-05
63,3.127932436659368e-05
64,3.127932436659368e-05
65,7.359705611775528e-05
66,7.359705611775528e-05
67,7.359705611775528e-05
68,7.359705611775528e-05
69,7.359705611775528e-05
70,6.586530545035402e-05
71,6.586530545035402e-05
72,6.586530545035402e-05
73,6.586530545035402e-05
74,6.586530545035402e-05
75,0.00012625465564042673
76,0.00012625465564042673
77,0.00012625465564042673
78,0.00012625465564042673
79,0.00012625465564042673
80,3.108003108003108e-05
81,3.108003108003108e-05
82,3.108003108003108e-05
83,3.108003108003108e-05
84,3.108003108003108e-05
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
