age,rate
0,2.2554233063039646e-07
1,2.2554233063039646e-07
2,2.2554233063039646e-07
3,2.2554233063039646e-07
4,2.2554233063039646e-07
5,5.549256122216817e-07
6,5.549256122216817e-07
7,5.549256122216817e-07
8,5.549256122216817e-07
9,5.549256122216817e-07
10,2.261494717684965e-06
11,2.261494717684965e-06
12,2.261494717684965e-06
13,2.261494717684965e-06
14,2.261494717684965e-06
15,3.6453373711261742e-06
16,3.6453373711261742e-06
17,3.6453373711261742e-06
18,3.6453373711261742e-06
19,3.6453373711261742e-06
20,4.4069306582757695e-06
21,4.4069306582757695e-06
22,4.4069306582757695e-06
23,4.4069306582757695e-06
24,4.4069306582757695e-06
25,4.959433067122442e-06
26,4.959433067122442e-06
27,4.959433067122442e-06
28,4.959433067122442e-06
29,4.959433067122442e-06
30,7.006753399450312e-06
31,7.006753399450312e-06
32,7.006753399450312e-06
33,7.006753399450312e-06
34,7.006753399450312e-06
35,1.09537501183515e-05
36,1.09537501183515e-05
37,1.09537501183515e-05
38,1.09537501183515e-05
39,1.09537501183515e-05
40,1.983422013256564e-05
41,1.983422013256564e-05
42,1.983422013256564e-05
43,1.983422013256564e-05
44,1.983422013256564e-05
45,2.7446643321013513e-05
46,2.7446643321013513e-05
47,2.7446643321013513e-05
48,2.7446643321013513e-05
49,2.7446643321013513e-05
50,3.739047634837976e-05
51,3.739047634837976e-05
52,3.739047634837976e-05
53,3.739047634837976e-05
54,3.739047634837976e-05
55,4.556954976130317e-05
56,4.556954976130317e-05
57,4.556954976130317e-05
58,4.556954976130317e-05
59,4.556954976130317e-05
60,5.7739523885135086e-05
61,5.7739523885135086e-05
62,5.7739523885135086e-05
63,5.7739523885135086e-05
64,5.7739523885135086e-05
65,6.932167501006759e-05
66,6.932167501006759e-05
67,6.932167501006759e-05
68,6.932167501006759e-05
69,6.932167501006759e-05
70,7.529297062488992e-05
71,7.529297062488992e-05
72,7.529297062488992e-05
73,7.529297062488992e-05
74,7.529297062488992e-05
75,7.452444803180933e-05
76,7.452444803180933e-05
77,7.452444803180933e-05
78,7.452444803180933e-05
79,7.452444803180933e-05
80,8.718285255953005e-05
81,8.718285255953005e-05
82,8.718285255953005e-05
83,8.718285255953005e-05
84,8.718285255953005e-05
85,7.929456048717574e-05
86,7.929456048717574e-05
87,7.929456048717574e-05
88,7.929456048717574e-05
89,7.929456048717574e-05
