age,rate
0,1.4140462956948547e-07
1,1.4140462956948547e-07
2,1.4140462956948547e-07
3,1.4140462956948547e-07
4,1.4140462956948547e-07
5,4.445145896284081e-07
6,4.445145896284081e-07
7,4.445145896284081e-07
8,4.445145896284081e-07
9,4.445145896284081e-07
10,1.606738851030933e-06
11,1.606738851030933e-06
12,1.606738851030933e-06
13,1.606738851030933e-06
14,1.606738851030933e-06
15,2.496672350839682e-06
16,2.496672350839682e-06
17,2.496672350839682e-06
18,2.496672350839682e-06
19,2.496672350839682e-06
20,3.556393016889807e-06
21,3.556393016889807e-06
22,3.556393016889807e-06
23,3.556393016889807e-06
24,3.556393016889807e-06
25,4.892436530879777e-06
26,4.892436530879777e-06
27,4.892436530879777e-06
28,4.892436530879777e-06
29,4.892436530879777e-06
30,7.062046157106126e-06
31,7.062046157106126e-06
32,7.062046157106126e-06
33,7.062046157106126e-06
34,7.062046157106126e-06
35,1.034973057823236e-05
36,1.034973057823236e-05
37,1.034973057823236e-05
38,1.034973057823236e-05
39,1.034973057823236e-05
40,1.7169399421545417e-05
41,1.7169399421545417e-05
42,1.7169399421545417e-05
43,1.7169399421545417e-05
44,1.7169399421545417e-05
45,2.7483510456347585e-05
46,2.7483510456347585e-05
47,2.7483510456347585e-05
48,2.7483510456347585e-05
49,2.7483510456347585e-05
50,3.874048384179945e-05
51,3.874048384179945e-05
52,3.874048384179945e-05
53,3.874048384179945e-05
54,3.874048384179945e-05
55,4.770909788413148e-05
56,4.770909788413148e-05
57,4.770909788413148e-05
58,4.770909788413148e-05
59,4.770909788413148e-05
60,5.732007227021458e-05
61,5.732007227021458e-05
62,5.732007227021458e-05
63,5.732007227021458e-05
64,5.732007227021458e-05
65,6.969923087436117e-05
66,6.969923087436117e-05
67,6.969923087436117e-05
68,6.969923087436117e-05
69,6.969923087436117e-05
70,7.973908606471371e-05
71,7.973908606471371e-05
72,7.973908606471371e-05
73,7.973908606471371e-05
74,7.973908606471371e-05
75,8.951939877999597e-05
76,8.951939877999597e-05
77,8.951939877999597e-05
78,8.951939877999597e-05
79,8.951939877999597e-05
80,9.522115748551562e-05
81,9.522115748551562e-05
82,9.522115748551562e-05
83,9.522115748551562e-05
84,9.522115748551562e-05
85,8.435381597993958e-05
86,8.435381597993958e-05
87,8.435381597993958e-05
88,8.435381597993958e-05
89,8.435381597993958e-05
