age,rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1.2236008124709393e-06
31,1.2236008124709393e-06
32,1.2236008124709393e-06
33,1.2236008124709393e-06
34,1.2236008124709393e-06
35,2.42320852193973e-06
36,2.42320852193973e-06
37,2.42320852193973e-06
38,2.42320852193973e-06
39,2.42320852193973e-06
40,3.1968798452710153e-06
41,3.1968798452710153e-06
42,3.1968798452710153e-06
43,3.1968798452710153e-06
44,3.1968798452710153e-06
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,2.795814665445828e-06
51,2.795814665445828e-06
52,2.795814665445828e-06
53,2.795814665445828e-06
54,2.795814665445828e-06
55,3.524943380596949e-06
56,3.524943380596949e-06
57,3.524943380596949e-06
58,3.524943380596949e-06
59,3.524943380596949e-06
60,1.0437596221590167e-05
61,1.0437596221590167e-05
62,1.0437596221590167e-05
63,1.0437596221590167e-05
64,1.0437596221590167e-05
65,1.654601861427094e-05
66,1.654601861427094e-05
67,1.654601861427094e-05
68,1.654601861427094e-05
69,1.654601861427094e-05
70,3.9245184288844555e-05
71,3.9245184288844555e-05
72,3.9245184288844555e-05
73,3.9245184288844555e-05
74,3.9245184288844555e-05
75,1.4368504238708749e-05
76,1.4368504238708749e-05
77,1.4368504238708749e-05
78,1.4368504238708749e-05
79,1.4368504238708749e-05
