age,rate
0,5.3820368669525385e-06
1,5.3820368669525385e-06
2,5.3820368669525385e-06
3,5.3820368669525385e-06
4,5.3820368669525385e-06
5,1.5590603231620238e-06
6,1.5590603231620238e-06
7,1.5590603231620238e-06
8,1.5590603231620238e-06
9,1.5590603231620238e-06
10,7.020869534691871e-07
11,7.020869534691871e-07
12,7.020869534691871e-07
13,7.020869534691871e-07
14,7.020869534691871e-07
15,2.9078009028721804e-07
16,2.9078009028721804e-07
17,2.9078009028721804e-07
18,2.9078009028721804e-07
19,2.9078009028721804e-07
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1.0988326734232668e-06
31,1.0988326734232668e-06
32,1.0988326734232668e-06
33,1.0988326734232668e-06
34,1.0988326734232668e-06
35,4.962114257642896e-07
36,4.962114257642896e-07
37,4.962114257642896e-07
38,4.962114257642896e-07
39,4.962114257642896e-07
40,1.38232285532609e-06
41,1.38232285532609e-06
42,1.38232285532609e-06
43,1.38232285532609e-06
44,1.38232285532609e-06
45,4.114633694735326e-06
46,4.114633694735326e-06
47,4.114633694735326e-06
48,4.114633694735326e-06
49,4.114633694735326e-06
50,1.3533905817549415e-06
51,1.3533905817549415e-06
52,1.3533905817549415e-06
53,1.3533905817549415e-06
54,1.3533905817549415e-06
55,7.5731184587189304e-06
56,7.5731184587189304e-06
57,7.5731184587189304e-06
58,7.5731184587189304e-06
59,7.5731184587189304e-06
60,9.255724086864971e-06
61,9.255724086864971e-06
62,9.255724086864971e-06
63,9.255724086864971e-06
64,9.255724086864971e-06
65,1.708875901432038e-05
66,1.708875901432038e-05
67,1.708875901432038e-05
68,1.708875901432038e-05
69,1.708875901432038e-05
70,1.9815223045104402e-05
71,1.9815223045104402e-05
72,1.9815223045104402e-05
73,1.9815223045104402e-05
74,1.9815223045104402e-05
75,3.353566517991885e-06
76,3.353566517991885e-06
77,3.353566517991885e-06
78,3.353566517991885e-06
79,3.353566517991885e-06
